eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
1,1,1,48,3,11,4,4,5,5,1,1349,75,65.01,43,3,NA,NA,1,NA,4000,NA,21,4000,NA,4000,NA,21,1,3,7,2,1976,45,1,2,NA,2,8,3,3,1,3,3,3,3,3,2,1,1,1,1,1,2,2,1,2,3,4,3,3,5,10,9,4
1,1,1,64,4,1,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,2800,NA,18,3400,NA,3400,NA,19,1,1,7,4,NA,NA,NA,NA,NA,NA,8,3,3,2,1,NA,4,3,3,1,1,1,2,NA,1,1,1,1,3,3,3,2,2,2,80,8,5
1,1,2,26,1,7,4,3,3,3,1,3256,50,44.92,39,1,1,NA,5,1,NA,12,12,NA,17,NA,17,17,1,1,4,2,2014,7,3,1,NA,1,7,NA,2,2,2,2,3,3,4,3,3,1,1,1,1,1,1,1,2,2,2,4,3,5,30,9,5
2,1,1,73,4,15,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,18,NA,18,18,1,1,3,3,NA,NA,NA,NA,NA,NA,7,2,NA,1,4,1,2,2,3,1,1,2,1,3,NA,2,1,1,2,3,4,3,2,5,120,9,4
2,1,2,49,3,15,1,4,5,5,1,3256,50,44.92,31,1,NA,NA,1,NA,NA,13,13,NA,19,NA,19,19,1,2,7,4,1992,29,1,NA,2,2,9,2,2,NA,2,2,4,4,3,1,2,NA,1,NA,2,2,1,1,2,NA,NA,NA,NA,NA,140,5,2
2,1,1,38,2,15,1,3,3,3,1,5223,42.78,28.48,50.5,1,4,NA,1,NA,NA,13,13,NA,20,NA,20,20,1,2,4,2,2015,6,1,NA,2,2,8,3,2,1,3,4,3,2,2,2,1,2,1,3,1,2,1,1,2,4,5,3,2,5,140,8,6
1,1,1,40,2,95,NA,5,5,7,1,2521,51,75.13,45,1,NA,NA,5,2,5111,NA,23,NA,NA,5111,NA,23,2,NA,4,1,NA,NA,NA,NA,NA,NA,9,4,4,NA,2,3,1,2,1,2,1,1,1,1,2,2,2,1,2,1,4,3,3,4,90,10,7
2,NA,NA,NA,NA,NA,NA,5,3,3,3,NA,NA,NA,NA,NA,NA,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,3,2,4,4,4,1,2,NA,1,3,1,1,NA,NA,2,NA,NA,NA,NA,NA,112,10,7
2,1,1,50,3,15,1,3,3,3,2,3322,47,57.03,42,3,2,NA,1,NA,1700,NA,13,3450,NA,3450,NA,19,1,2,7,4,2005,16,1,NA,1,1,2,3,2,NA,3,4,1,2,3,1,2,NA,1,2,1,2,1,1,3,NA,NA,NA,NA,NA,140,9,3
2,1,1,57,3,15,1,3,3,3,1,1321,64,65.42,39,1,NA,NA,1,NA,2000,NA,15,3200,NA,3200,NA,19,1,2,7,4,2005,16,1,NA,2,2,7,2,1,NA,2,3,3,3,3,1,3,NA,2,NA,1,2,1,2,3,NA,NA,NA,NA,NA,140,7,4
2,1,2,42,2,17,1,3,3,3,1,2635,53.89,70.5,40,1,NA,NA,1,NA,NA,16,16,NA,23,NA,23,23,1,3,7,3,NA,NA,NA,NA,NA,NA,7,3,1,2,4,3,2,3,4,1,2,1,1,3,1,1,1,1,3,1,2,4,5,5,160,4,4
2,1,2,55,3,13,1,3,3,3,2,3412,49,52.72,35,1,NA,NA,1,NA,NA,14,14,NA,NA,NA,NA,NA,1,1,7,2,1994,27,2,NA,2,2,10,2,2,2,4,4,2,1,3,1,1,1,1,2,1,1,1,1,2,2,3,3,3,5,150,8,6
1,1,2,31,2,8,4,5,5,7,2,2634,66,85.85,30,NA,5,NA,5,1,NA,16,16,NA,23,NA,23,23,1,1,4,2,NA,NA,NA,NA,NA,NA,9,4,4,2,2,3,3,4,3,2,1,1,1,2,NA,NA,2,NA,2,3,3,3,3,4,50,8,6
1,1,2,55,3,2,4,1,1,1,2,9111,20,16.38,25,1,NA,NA,1,NA,NA,7,7,NA,16,NA,16,16,1,1,7,3,NA,NA,NA,NA,NA,NA,5,2,2,2,NA,1,2,3,4,2,3,2,1,3,1,2,1,1,4,2,2,3,4,5,30,4,4
1,1,1,68,4,3,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,12,NA,12,12,1,1,7,2,NA,NA,NA,NA,NA,NA,8,3,2,1,2,1,3,2,2,1,1,2,1,2,1,2,1,1,2,4,4,2,2,5,40,10,7
1,1,2,91,6,2,4,6,5,7,4,NA,NA,NA,NA,NA,NA,2,5,2,NA,18,18,NA,NA,NA,18,18,2,NA,6,2,1977,44,1,2,NA,2,NA,4,3,NA,2,2,2,2,3,2,1,NA,1,2,2,1,2,2,4,NA,NA,NA,NA,NA,90,10,4
2,1,2,63,4,95,NA,3,3,3,4,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,2003,18,6,NA,1,2,8,1,3,NA,3,4,4,1,3,2,1,NA,1,3,2,2,2,2,3,NA,NA,NA,NA,NA,120,4,4
2,3,2,56,3,95,NA,3,2,2,3,NA,NA,NA,NA,NA,NA,3,5,2,1600,NA,13,NA,NA,1600,NA,13,2,NA,3,2,2018,3,1,NA,2,2,NA,3,3,1,2,4,3,3,2,2,2,2,2,NA,2,2,2,2,3,4,4,2,2,5,112,10,7
1,1,2,77,5,2,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,11,11,NA,NA,NA,11,11,2,NA,7,3,1949,72,NA,2,NA,2,10,3,3,NA,1,3,1,2,2,1,1,NA,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,90,7,4
1,1,2,56,3,2,4,2,3,3,2,5223,42.78,28.48,26,2,NA,NA,1,NA,NA,9,9,NA,14,NA,14,14,1,1,7,5,NA,NA,NA,NA,NA,NA,9,2,1,NA,2,2,3,3,4,1,2,1,2,NA,1,1,1,2,2,3,5,2,2,5,90,7,3
2,1,2,30,2,16,1,5,5,6,4,NA,NA,NA,NA,NA,NA,3,5,1,850,NA,7,NA,7,NA,7,7,1,1,4,1,2014,7,3,NA,2,1,9,3,2,NA,3,2,3,3,4,1,2,NA,1,3,1,2,1,1,1,NA,NA,NA,NA,NA,140,10,7
1,1,2,58,3,2,4,3,3,3,2,3322,47,57.03,30,1,NA,NA,1,NA,3500,NA,20,5500,NA,5500,NA,23,1,1,7,1,9000,58,NA,2,NA,2,10,3,3,1,3,1,1,2,1,2,1,2,1,2,1,2,2,1,1,3,5,2,2,5,90,8,6
