respid,eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
2078,1,1,1,43,2,2,4,3,5,5,1,4110,42.09,43.33,45,1,NA,NA,1,NA,2800,NA,18,NA,NA,NA,NA,NA,1,3,7,4,9000,43,NA,2,NA,2,9,2,3,1,3,3,1,2,3,3,1,1,2,NA,1,2,1,1,2,4,5,2,2,5,90,7,3
2079,1,1,1,73,4,11,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,23,23,NA,23,NA,23,23,1,1,7,1,NA,NA,NA,NA,NA,NA,9,4,3,2,3,2,4,4,4,1,2,2,1,3,1,2,1,1,2,5,3,2,2,5,20,10,7
2080,1,3,2,53,3,8,4,1,1,1,4,NA,NA,NA,NA,NA,NA,6,5,2,NA,NA,NA,NA,1,NA,1,1,1,3,NA,1,2019,2,4,2,NA,2,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,3,5,3,2,3,4,50,8,6
2081,2,1,2,52,3,17,1,3,3,3,1,3221,44,56,40,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,8,2,2,2,1,3,4,2,4,4,2,1,2,NA,1,1,2,2,2,2,3,2,2,5,160,5,3
2082,1,1,2,70,4,1,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,19,19,NA,22,NA,22,22,1,1,7,4,NA,NA,NA,NA,NA,NA,8,3,3,2,2,1,4,3,4,1,1,2,2,NA,1,2,1,2,3,4,3,2,3,4,90,7,3
2083,1,1,1,48,3,6,4,3,3,3,1,1324,57.21,58.07,40,1,NA,NA,1,NA,2200,NA,15,5000,NA,5000,NA,23,1,2,4,3,2019,2,1,1,NA,1,8,3,3,1,3,4,2,3,3,2,2,1,1,2,1,2,1,2,2,3,3,2,3,5,60,7,3
2084,1,1,2,56,3,8,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,2,9000,56,NA,2,NA,2,4,1,2,NA,2,1,3,4,4,2,3,NA,1,3,1,2,1,1,4,NA,NA,NA,NA,NA,50,8,6
2085,1,1,2,82,5,1,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,4,NA,NA,NA,NA,NA,NA,8,2,NA,NA,1,2,3,3,4,2,2,2,1,3,1,2,2,2,3,5,4,2,2,5,80,9,3
2086,1,1,1,63,4,1,4,4,5,5,1,3221,44,56,45,1,NA,NA,1,NA,NA,22,22,NA,23,NA,23,23,1,1,7,3,NA,NA,NA,NA,NA,NA,8,3,3,2,3,2,3,3,3,3,1,2,1,2,1,2,1,1,3,3,4,2,3,5,30,3,3
2087,2,1,1,69,4,8,3,3,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,5000,NA,23,NA,NA,5000,NA,23,2,NA,7,4,2004,17,5,NA,1,2,7,2,2,2,2,3,1,2,3,2,1,1,1,1,2,1,1,1,1,4,4,2,2,4,130,2,2
2088,1,1,2,51,3,1,4,3,3,3,2,4223,42.15,38.58,20,2,2,NA,4,2,1100,NA,9,4000,NA,4000,NA,21,1,1,3,2,1985,36,6,1,NA,2,8,2,2,NA,2,1,3,3,2,1,2,NA,1,3,1,1,1,2,3,NA,NA,NA,NA,NA,80,10,6
2089,2,1,1,69,4,16,1,5,5,6,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,17,NA,17,17,1,1,7,4,2004,17,1,NA,2,2,7,3,3,NA,1,2,3,2,2,2,2,NA,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,150,4,1
2090,1,1,2,72,4,6,4,4,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,20,NA,20,20,1,1,7,3,1978,43,5,2,NA,2,10,3,3,2,3,3,3,3,2,2,2,1,1,2,2,2,2,2,2,4,4,2,2,5,60,4,3
2091,1,1,1,91,6,8,4,5,6,8,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,23,23,NA,NA,NA,23,23,2,NA,7,3,NA,NA,NA,NA,NA,NA,5,4,3,1,2,3,1,2,2,2,1,1,1,1,2,2,2,2,4,2,2,3,NA,2,50,10,6
2092,1,1,2,65,4,8,4,4,4,4,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,23,NA,23,23,1,1,7,2,1985,36,5,1,NA,1,NA,4,2,NA,2,1,4,4,3,1,1,NA,2,NA,1,2,1,NA,2,NA,NA,NA,NA,NA,10,9,4
